"","Week.starting","Language","Country.code","Tweets","group"
"541",2019-08-04,"en","MCO",1,"1"
"542",2019-08-04,"en","MEX",8,"1"
"543",2019-08-04,"en","MKD",1,"1"
"544",2019-08-04,"en","MNG",1,"1"
"545",2019-08-04,"en","MYS",2,"1"
"546",2019-08-04,"en","NAM",1,"1"
"547",2019-08-04,"en","NGA",8,"1"
"548",2019-08-04,"en","NLD",8,"1"
"549",2019-08-04,"en","NOR",5,"1"
"550",2019-08-04,"en","NPL",3,"1"
"551",2019-08-04,"en","NZL",2,"1"
"552",2019-08-04,"en","OMN",1,"1"
"553",2019-08-04,"en","PAK",3,"1"
"554",2019-08-04,"en","PHL",6,"1"
"555",2019-08-04,"en","POL",2,"1"
"556",2019-08-04,"en","PRT",12,"1"
"557",2019-08-04,"en","QAT",2,"1"
"558",2019-08-04,"en","ROU",1,"1"
"559",2019-08-04,"en","RUS",2,"1"
"560",2019-08-04,"en","RWA",1,"1"
"561",2019-08-04,"en","SDN",2,"1"
"562",2019-08-04,"en","SEN",1,"1"
"563",2019-08-04,"en","SOM",1,"1"
"564",2019-08-04,"en","SRB",1,"1"
"565",2019-08-04,"en","SVN",2,"1"
"566",2019-08-04,"en","SWE",6,"1"
"567",2019-08-04,"en","THA",3,"1"
"568",2019-08-04,"en","TJK",1,"1"
"569",2019-08-04,"en","TLS",2,"1"
"570",2019-08-04,"en","TTO",1,"1"
"571",2019-08-04,"en","TUN",1,"1"
"572",2019-08-04,"en","TUR",3,"1"
"573",2019-08-04,"en","TWN",1,"1"
"574",2019-08-04,"en","UGA",7,"1"
"575",2019-08-04,"en","USA",5833,"1"
"576",2019-08-04,"en","VEN",3,"1"
"577",2019-08-04,"en","VGB",1,"1"
"578",2019-08-04,"en","YEM",1,"1"
"579",2019-08-04,"en","ZAF",2,"1"
"580",2019-08-04,"en","ZWE",3,"1"
"582",2019-08-04,"fr","CHE",1,"1"
"583",2019-08-04,"fr","FRA",5,"1"
"584",2019-08-04,"fr","GBR",1,"1"
"585",2019-08-04,"fr","ISR",1,"1"
"586",2019-08-04,"fr","MAR",3,"1"
"587",2019-08-04,"fr","MDV",1,"1"
"588",2019-08-04,"fr","REU",1,"1"
"590",2019-08-11,"ar","ARE",1,"1"
"591",2019-08-11,"ar","AUT",1,"1"
"592",2019-08-11,"ar","BHR",1,"1"
"593",2019-08-11,"ar","BRA",1,"1"
"594",2019-08-11,"ar","CHE",2,"1"
"595",2019-08-11,"ar","DEU",2,"1"
"596",2019-08-11,"ar","EGY",16,"1"
"597",2019-08-11,"ar","ESH",2,"1"
"598",2019-08-11,"ar","ESP",1,"1"
"599",2019-08-11,"ar","GBR",5,"1"
"600",2019-08-11,"ar","IRN",1,"1"
"601",2019-08-11,"ar","IRQ",5,"1"
"602",2019-08-11,"ar","KEN",1,"1"
"603",2019-08-11,"ar","KWT",6,"1"
"604",2019-08-11,"ar","LBN",3,"1"
"605",2019-08-11,"ar","LBY",3,"1"
"606",2019-08-11,"ar","MRT",1,"1"
"607",2019-08-11,"ar","OMN",2,"1"
"608",2019-08-11,"ar","PSE",2,"1"
